t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.326345 0.183597 0.874877 1 0.00377107 -0.012759 0.000759391 0 0 0 0.208949 -0.706956 0.0420767
0.0998792 0.328429 0.176544 0.875296 0.950306 0.0262188 0.0128089 0.00411076 0.0208697 -0.0706102 0.00420258 -0.106408 0.141828 -0.0375106
0.369578 0.326318 0.167817 0.873701 0.828112 0.0829229 0.0638155 0.0123707 -0.00782836 -0.0323592 -0.00591399 -0.000828218 0.0442782 0.0147697
1.00338 0.321024 0.165095 0.875886 0.599262 0.17591 0.174954 0.0478039 -0.00835329 -0.0042955 0.00344709 -0.724587 0.187745 0.791975
1.03768 0.319885 0.165168 0.876936 0.588864 0.206046 0.163503 0.0388829 -0.0332045 0.00214359 0.0306095 0.851076 -0.756499 0.0586145
1.0769 0.319892 0.164088 0.878227 0.577194 0.197538 0.182136 0.0377685 0.00017726 -0.0275286 0.0329086 -0.100915 0.175459 -0.137992
1.16937 0.319045 0.163043 0.88009 0.550591 0.210977 0.193109 0.040587 -0.00915375 -0.011305 0.0201493 0.0193804 0.0604308 -0.140239
1.35332 0.318017 0.163008 0.879051 0.501254 0.0926159 0.0643439 0.171592 -0.00558859 -0.000188288 -0.00564864 -7.83012 -8.4266 7.08436
1.36797 0.316256 0.161198 0.880487 0.497522 0.228485 0.209876 0.0507068 -0.120255 -0.123589 0.0980964 0.263355 0.25065 -0.22405
1.80358 0.313845 0.154924 0.880704 0.398352 0.275893 0.25197 0.0525136 -0.00553502 -0.014404 0.000498255 -0.219357 -0.221869 -0.0937023
2.00375 0.303948 0.143151 0.877049 0.359668 0.288796 0.262779 0.0527184 -0.0494443 -0.0588162 -0.0182584 0.218336 0.230832 0.0409254
2.14006 0.301265 0.139422 0.875321 0.335498 0.291347 0.261504 0.0509132 -0.019683 -0.0273515 -0.0126799 -0.29102 -0.425618 -0.0985573
2.30374 0.290246 0.123542 0.870605 0.308612 0.292061 0.256118 0.0470021 -0.067318 -0.0970179 -0.0288121 -0.129962 -0.2069 -0.0936852
2.57541 0.262366 0.0819147 0.855863 0.268659 0.286804 0.240914 0.0342435 -0.102625 -0.153227 -0.0542637 0.221026 0.483647 -0.0354914
2.80504 0.250455 0.0722313 0.841532 0.238951 0.287513 0.242071 0.0244441 -0.0518726 -0.0421712 -0.0624132 -0.132406 -0.248341 0.123771
3.20785 0.208076 0.0149486 0.836474 0.19455 0.273128 0.237205 0.0246847 -0.105208 -0.142206 -0.0125565 0.48556 1.98253 -0.0273582
3.24026 0.205176 0.0124221 0.836038 0.191359 0.272809 0.212549 0.0237883 -0.0894702 -0.0779507 -0.0134432 0.464471 0.353856 -0.0626998
3.30534 0.20132 0.00884769 0.834897 0.185107 0.264462 0.204545 0.0241679 -0.0592406 -0.0549203 -0.017524 -0.102805 -0.170309 0.0139247
3.60501 0.174336 -0.0229034 0.830897 0.158858 0.249557 0.18505 0.0219633 -0.0900477 -0.105956 -0.0133513 0.0112327 0.0704702 -0.0240621
