t x y z s fx fy fz
0 0.307778 0.0371806 0.647038 1 -0.000291476 -0.00290638 -0.00205707
0.235849 0.30598 0.0192553 0.634351 0.785956 0.123302 0.033723 -0.00572721
0.567855 0.297813 0.0257062 0.62459 0.559951 0.248825 0.10632 -0.00167849
0.769935 0.299411 0.0351937 0.621192 0.455538 0.312326 0.140792 0.000741392
0.936383 0.297239 0.0322727 0.617886 0.384329 0.348653 0.152588 0.00130255
1.04741 0.292016 0.0281502 0.616062 0.343133 0.366086 0.157374 0.00191869
1.56811 0.226564 -0.0417215 0.61574 0.201617 0.374081 0.114364 0.010836
1.83689 0.15797 -0.102352 0.621617 0.153221 0.326339 0.0626456 0.0192157
2.20581 0.0569548 -0.164583 0.610573 0.105123 0.253238 0.0200065 0.00953035
2.30379 0.0309324 -0.177551 0.610013 0.0951137 0.237402 0.00940302 0.0139673
2.4053 0.00888922 -0.191162 0.614621 0.0857474 0.224585 0.00234891 0.0177294
2.58343 -0.0168661 -0.200574 0.617914 0.0714858 0.210672 0.000937052 0.0210433
2.70398 -0.033307 -0.205129 0.620667 0.0632053 0.202105 -0.00023151 0.0232625
2.97201 -0.0469973 -0.207245 0.618605 0.0480706 0.192556 0.000517182 0.0233709
3.10667 -0.073066 -0.213842 0.623778 0.0418945 0.167335 -0.00561338 0.0298553
3.70384 -0.172589 -0.251862 0.644942 0.0227669 0.0827119 -0.0506167 0.0609932
3.80382 -0.187459 -0.270291 0.658684 0.0205571 0.0693198 -0.0651783 0.0718641
