t x y z s fx fy fz
0 0.139051 0.177411 0.834273 1 0.000467888 0.000192451 0.00105951
1.29694 0.171186 0.190629 0.907041 0.614011 0.160414 0.150167 0.0835725
2.94547 -0.00547071 0.138222 0.821951 0.330316 0.0526089 0.189315 -0.0125651
3.03323 -0.01972 0.133621 0.814765 0.319592 0.0612099 0.196993 -0.0117153
3.16328 -0.0347381 0.129959 0.805565 0.304338 0.046021 0.195989 -0.0209363
4.06819 -0.159141 0.0929962 0.767864 0.216551 -0.0494305 0.189654 -0.0547665
4.47025 -0.206451 0.0787967 0.753593 0.186163 -0.0839861 0.188388 -0.0687671
4.73849 -0.231813 0.0752493 0.742642 0.1683 -0.102664 0.185775 -0.0755122
4.89949 -0.246187 0.0674582 0.740148 0.158412 -0.108429 0.186049 -0.0791809
5.03934 -0.254153 0.0625754 0.738161 0.150296 -0.1226 0.17987 -0.0933265
5.10334 -0.258824 0.0598367 0.73521 0.146721 -0.125704 0.180541 -0.0874962
5.2991 -0.279859 0.0512002 0.725185 0.136308 -0.131662 0.180356 -0.0957706
5.46821 -0.285894 0.0492477 0.718123 0.127909 -0.138326 0.179435 -0.103871
5.76803 -0.294539 0.0452766 0.703123 0.11427 -0.141492 0.179549 -0.117003
6.16955 -0.300183 0.0351514 0.694037 0.0982547 -0.14736 0.161461 -0.122244
6.26771 -0.303905 0.0274473 0.692901 0.094694 -0.142923 0.164865 -0.122426
6.45517 -0.306485 0.0146265 0.694543 0.088248 -0.139017 0.119605 -0.121473
6.53891 -0.306107 -0.000922375 0.695284 0.0855122 -0.140106 0.133324 -0.120621
6.96817 -0.294122 -0.0468814 0.699654 0.0727644 -0.123186 0.094771 -0.115949
9.5413 -0.236249 -0.228831 0.729642 0.0276478 -0.0421062 -0.0674074 -0.0877049
9.67441 -0.226977 -0.237598 0.729222 0.0262978 -0.0371232 -0.0748521 -0.0856595
10.053 -0.202235 -0.254908 0.734111 0.022808 -0.020298 -0.0797331 -0.0879177
10.1413 -0.19932 -0.255539 0.732827 0.0220628 -0.0140972 -0.0864246 -0.0822404
10.3051 -0.19724 -0.255703 0.732407 0.020745 -0.0100583 -0.0837341 -0.0853218
10.4408 -0.19529 -0.253764 0.73058 0.0197128 -0.00649514 -0.082467 -0.082353
10.5428 -0.193219 -0.252157 0.730815 0.0189708 -0.00694524 -0.0832721 -0.0828504
10.7748 -0.192629 -0.253892 0.734926 0.0173858 -0.00677523 -0.0829129 -0.08169
11.0549 -0.195863 -0.252275 0.731136 0.0156475 -0.0077165 -0.0798921 -0.0851571
11.3455 -0.193206 -0.247974 0.72842 0.014028 -0.00413893 -0.0722087 -0.0907717
11.5182 -0.191289 -0.242051 0.72321 0.0131457 -0.00574977 -0.0691189 -0.0881662
11.6945 -0.194052 -0.238704 0.726407 0.0123023 -0.00476798 -0.0485913 -0.0745346
11.9435 -0.192533 -0.193139 0.763358 0.0112024 -0.00357817 -0.0253989 -0.0454992
12.0733 -0.192085 -0.184045 0.777951 0.0106689 -0.00362693 -0.00876452 -0.0126049
