t x y z s fx fy fz
0 0.252706 0.227711 0.76163 1 0.00328887 0.00243485 -0.00161936
0.230996 0.261155 0.233966 0.757469 0.902632 0.0623448 0.0460799 0.0109869
0.331183 0.262126 0.234936 0.755778 0.863406 0.092699 0.0754671 0.0210691
0.374039 0.262857 0.236221 0.755519 0.847151 0.0987489 0.0739914 0.0195291
0.730609 0.261909 0.237249 0.75484 0.723247 0.168872 0.126256 0.0403739
1.29876 0.263068 0.237272 0.759457 0.562162 0.263291 0.196639 0.0709577
1.36642 0.263215 0.237862 0.759588 0.545545 0.272528 0.20118 0.0753179
1.59885 0.262484 0.236871 0.760198 0.492115 0.302778 0.222916 0.0851811
1.87026 0.262137 0.23651 0.761568 0.436308 0.334738 0.246041 0.0960943
2.30201 0.262238 0.23543 0.764111 0.360279 0.378615 0.276166 0.110525
2.43503 0.262126 0.234442 0.764 0.33964 0.389917 0.278618 0.112178
2.53508 0.261767 0.231009 0.762863 0.3249 0.397911 0.283771 0.114671
2.96826 0.255881 0.20893 0.756889 0.268114 0.410801 0.238655 0.11508
3.03623 0.251936 0.195176 0.75525 0.260154 0.422522 0.266896 0.117398
3.43645 0.239984 0.159846 0.748494 0.217845 0.434615 0.245709 0.115468
3.56725 0.234899 0.141742 0.744123 0.205569 0.439938 0.244299 0.1169
3.73603 0.232037 0.129417 0.742012 0.190744 0.4445 0.233418 0.117045
3.90298 0.228675 0.113733 0.740519 0.177132 0.448117 0.224067 0.116954
4.06696 0.224093 0.0981583 0.738038 0.164707 0.450837 0.214924 0.117099
4.63764 0.20565 0.062143 0.733914 0.12788 0.453778 0.195995 0.120785
4.87315 0.198998 0.0469733 0.735256 0.115198 0.453703 0.185674 0.125512
4.97074 0.195899 0.0404619 0.73637 0.110319 0.45324 0.182535 0.125501
5.10336 0.191167 0.0324871 0.736827 0.104017 0.450476 0.173933 0.127508
5.37337 0.17475 0.00629066 0.737568 0.0922792 0.450895 0.169922 0.126586
5.44714 0.172983 0.00377216 0.736815 0.0893091 0.442059 0.154793 0.12782
6.10726 0.121426 -0.05618 0.708988 0.0666435 0.400243 0.101344 0.102491
7.2742 0.0171323 -0.146196 0.692849 0.0397199 0.313615 0.0298417 0.0882172
7.40657 0.00777711 -0.151181 0.687025 0.0374554 0.302602 0.0203871 0.0871092
7.57122 -0.00608286 -0.160985 0.682778 0.034818 0.277598 0.00698325 0.0844572
7.70681 -0.0291488 -0.17394 0.680888 0.032786 0.262617 -0.000327121 0.0831309
7.94294 -0.0654619 -0.189803 0.680212 0.0295264 0.23304 -0.0115109 0.0833153
8.17488 -0.0886187 -0.196929 0.6803 0.0266403 0.210397 -0.0193949 0.0826173
8.37716 -0.111074 -0.207025 0.677864 0.0243546 0.189534 -0.026794 0.0802724
8.80711 -0.157687 -0.215308 0.66858 0.0201268 0.14019 -0.0320462 0.0712757
9.1387 -0.221579 -0.221754 0.661222 0.0173745 0.0913153 -0.0335883 0.0630633
9.31579 -0.232012 -0.219535 0.655321 0.0160621 0.0703174 -0.0313379 0.0568549
9.57463 -0.271774 -0.215103 0.643988 0.0143203 0.0336115 -0.0265449 0.0441164
9.77706 -0.297105 -0.212455 0.631958 0.0130908 0.0113549 -0.0229448 0.0331456
10.2514 -0.32678 -0.202128 0.61075 0.0106075 -0.0015456 -0.00441305 -0.00209631
