t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.304596 -0.238436 0.765984 1 -0.011336 0.00544451 -0.00308994 0 0 0 -0.702141 0.337229 -0.191388
0.100476 0.297508 -0.235031 0.764052 0.944292 0.00455393 -0.0246123 0.0101892 -0.0705482 0.0338834 -0.0192299 -0.150113 -0.362286 0.6417
0.200282 0.288972 -0.235258 0.768525 0.892029 0.0255483 -0.0460222 0.0137272 -0.0855304 -0.00227488 0.0448156 0.577968 -0.00975133 0.0266911
0.334377 0.287895 -0.235739 0.775014 0.826334 0.0511085 -0.0779052 0.0180342 -0.00802768 -0.00358248 0.0483948 0.310142 -0.107007 -0.382593
0.422196 0.289582 -0.236879 0.776313 0.785956 0.0645208 -0.0959409 0.024458 0.0192086 -0.0129797 0.0147958 -0.0292687 0.0298235 -0.0353439
1.00182 0.290882 -0.234382 0.773015 0.564666 0.146567 -0.192881 0.0346681 0.00224375 0.00430675 -0.00569038 0.052678 -0.025133 0.0583326
1.13185 0.292065 -0.234247 0.773262 0.524294 0.161641 -0.21041 0.0367825 0.00909363 0.00103863 0.00189478 -0.0394527 0.0299927 -0.0242467
1.33236 0.292302 -0.232833 0.772667 0.467626 0.180698 -0.234804 0.0409354 0.00118312 0.00705235 -0.00296683 -0.113794 -0.0141876 0.0774143
1.46839 0.290357 -0.232136 0.773696 0.432708 0.191857 -0.250452 0.0423587 -0.0142968 0.00512236 0.00756415 -0.00742966 -0.0375472 -0.0916529
1.63453 0.287777 -0.232322 0.772423 0.39358 0.206553 -0.268028 0.0444259 -0.0155312 -0.00111569 -0.00766295 0.183062 0.0160912 0.04815
1.73595 0.288085 -0.232269 0.772141 0.371455 0.213212 -0.277802 0.0454414 0.0030341 0.000516202 -0.00277981 -0.0276362 0.0182865 0.0158268
2.00231 0.286932 -0.230835 0.772523 0.31909 0.230322 -0.297892 0.0483734 -0.00432713 0.00538703 0.00143584 -0.0420562 0.125164 -0.0522973
2.33613 0.280801 -0.215088 0.767175 0.263759 0.241847 -0.306041 0.0453628 -0.0183663 0.0471693 -0.016022 -0.124182 -0.0361499 -0.024936
2.54581 0.27149 -0.206787 0.762719 0.234022 0.240832 -0.30474 0.0414311 -0.044405 0.0395894 -0.0212506 -0.139768 0.405399 -0.0786006
2.63632 0.266326 -0.199883 0.760152 0.222246 0.240194 -0.304044 0.0393611 -0.0570551 0.0762812 -0.0283646 -0.0561606 0.147553 -0.0539787
2.8164 0.25423 -0.181361 0.753293 0.200547 0.236505 -0.296749 0.034187 -0.0671686 0.102853 -0.0380851 0.0289711 -0.0870988 0.020217
3.37281 0.225826 -0.151098 0.738361 0.146003 0.23027 -0.29836 0.0245338 -0.0510486 0.0543896 -0.0268361 0.0771391 -0.264738 0.07374
3.50858 0.220318 -0.148594 0.736077 0.135122 0.228924 -0.29455 0.0263596 -0.0405761 0.0184484 -0.0168251 0.0303946 0.320121 0.230736
3.59031 0.217204 -0.144947 0.736243 0.128966 0.226113 -0.295539 0.024296 -0.0380917 0.0446145 0.0020348 -0.104084 0.0604886 -0.0357
3.83118 0.20199 -0.130692 0.734662 0.112408 0.216438 -0.287074 0.0230444 -0.0631621 0.0591842 -0.00656414 0.00276041 0.0849865 -0.0317403
4.27763 0.174342 -0.0873289 0.725405 0.0871337 0.198066 -0.250622 0.0149 -0.0619297 0.0971268 -0.0207347 -0.00209787 0.154837 0.0178582
4.44823 0.163715 -0.0662529 0.722388 0.0790531 0.188765 -0.235415 0.0121727 -0.0622876 0.123542 -0.0176881 -0.101082 -0.128634 -0.0123149
4.73624 0.137391 -0.0413418 0.716272 0.0670753 0.168197 -0.215851 0.00733686 -0.0914003 0.0864936 -0.021235 0.14537 0.0810488 0.0402566
