t x y z s fx fy fz
0 0.19922 -0.0171296 0.87935 1 -0.000577549 -0.0012598 -0.00213107
0.204087 0.195693 -0.0248221 0.866338 0.759144 0.102737 -0.0254147 0.0532882
0.241934 0.195923 -0.0250807 0.865054 0.721325 0.116153 -0.0321063 0.0600468
0.536546 0.185489 -0.0335177 0.858764 0.484586 0.204712 -0.0610084 0.119589
0.86973 0.172313 -0.0340735 0.84376 0.309025 0.265756 -0.0739999 0.14924
0.936501 0.169012 -0.034042 0.839267 0.282383 0.272775 -0.0760072 0.151502
1.14337 0.150847 -0.0327462 0.819712 0.213565 0.281731 -0.0799543 0.149313
2.13851 0.0179466 -0.00918671 0.706459 0.0557167 0.214557 -0.0679908 0.0801971
2.36961 -0.000326941 -0.00358956 0.696338 0.0407817 0.203332 -0.0629556 0.0768639
2.64268 -0.0507757 0.0100218 0.667565 0.0282058 0.157053 -0.050227 0.0479072
2.80512 -0.059229 0.0123354 0.651633 0.0226511 0.153329 -0.0488338 0.034216
3.20424 -0.172403 0.046699 0.620875 0.0132144 0.0274676 -0.00987992 0.00723245
