t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.0680963 0.115718 0.627871 1 -0.00348826 -0.000633969 0.000178792 0 0 0 -0.0533868 -0.00970271 0.00273636
0.567773 0.0508862 0.11259 0.628753 0.923085 -0.0253213 -0.00348748 -0.00268839 -0.0303116 -0.00550894 0.00155363 -0.0671227 0.0720163 -0.0982547
0.742506 0.0435404 0.113826 0.626025 0.900626 -0.0753334 -0.0199038 -0.00714145 -0.0420401 0.00707468 -0.0156147 -0.699531 -0.194942 -0.113261
0.86917 0.0269923 0.111595 0.62223 0.884689 -0.0487521 -0.0102735 -0.00306996 -0.130646 -0.0176175 -0.0299608 0.0850608 0.0349004 0.0181753
1.23636 -0.00951062 0.109832 0.613679 0.840063 -0.0568739 -0.0152543 -0.0005584 -0.0994124 -0.00480255 -0.0232871 0.485677 0.00871927 0.154276
1.30803 -0.014141 0.109532 0.612803 0.831618 -0.150733 -0.0480515 -0.0163341 -0.0646006 -0.00417758 -0.012229 -0.925899 -0.481821 -0.0934426
1.50632 -0.0633543 0.0897598 0.606704 0.808695 -0.130837 -0.06611 -0.0112897 -0.248193 -0.0997159 -0.0307574 0.387745 -0.303955 0.0901004
1.76814 -0.101757 0.0428162 0.604827 0.779393 -0.164827 -0.101048 -0.0143245 -0.146674 -0.179297 -0.00716731 0.32223 0.0153842 0.0242774
2.03687 -0.117902 -0.00425605 0.604654 0.750421 -0.144902 -0.182919 -0.00505934 -0.06008 -0.175163 -0.000643165 0.761576 -0.496501 0.144167
2.23673 -0.0994912 -0.0590934 0.610284 0.729576 -0.175788 -0.0820802 -0.00102769 0.0921225 -0.27439 0.028169 -0.19704 2.04088 0.0690276
2.31154 -0.093702 -0.0681985 0.612778 0.721922 -0.00932361 -0.286331 0.0466578 0.077381 -0.121702 0.0333333 2.28377 -1.14782 0.749476
2.46815 -0.0255729 -0.115409 0.636379 0.70616 -0.110864 -0.204407 -0.00194676 0.435034 -0.301458 0.150706 -0.799374 1.08895 -0.524788
2.77217 0.0328015 -0.106407 0.633691 0.676536 0.0776958 -0.105569 0.103563 0.192007 0.0296075 -0.00884116 1.53173 2.03762 1.33357
2.80422 0.0405285 -0.103366 0.634778 0.673487 -0.0587578 -0.193631 0.00396695 0.241098 0.0949115 0.0338985 -0.741493 0.556691 -0.267495
2.83646 0.0475304 -0.0997272 0.635593 0.670433 -0.0208066 -0.215383 0.0179891 0.217194 0.112858 0.025275 -0.234486 0.146316 -0.0552032
3.12942 0.0910352 -0.0541051 0.638259 0.64331 4.86313 10.3902 0.820758 0.148497 0.155724 0.00910226 73.9464 161.729 12.1976
3.13881 0.0989465 -0.0383891 0.63942 0.642459 0.00235005 -0.201574 0.0188758 0.842708 1.67404 0.123614 -1.51761 -2.69276 -0.249908
3.67492 0.114554 0.0851537 0.633864 0.595698 0.00195011 0.0172257 -0.0164908 0.0291134 0.230446 -0.0103628 -0.639438 0.783803 -0.547977
3.7365 0.113922 0.102316 0.631148 0.590549 0.0312608 -0.0357887 0.0109528 -0.0102625 0.278711 -0.0441067 -0.126235 -0.351624 -0.0429782
4.0044 0.102113 0.151748 0.616247 0.568663 -0.0287866 -0.117555 0.0108685 -0.0440817 0.184509 -0.0556209 -0.813784 -2.21069 0.18775
4.04444 0.0990433 0.155591 0.614321 0.565463 -0.00801687 0.00990491 -0.00970143 -0.076663 0.0959997 -0.048104 -0.403688 -0.194715 -0.109608
4.2425 0.0680236 0.166967 0.600494 0.549894 -0.0334938 0.0104808 -0.0111203 -0.156617 0.0574345 -0.0698129 -0.206267 -0.293042 0.101618
4.47401 0.020709 0.164557 0.589778 0.532239 -0.0642826 0.0154026 -0.0223861 -0.204371 -0.0104086 -0.0462871 0.115587 -0.0719018 0.0514768
5.0744 -0.0603275 0.13239 0.580543 0.489048 -0.141316 -0.0423015 -0.0270398 -0.134974 -0.0535776 -0.015381 0.090571 -0.364344 0.0559845
5.27576 -0.0838338 0.106828 0.579716 0.475362 -0.0915932 -0.00673951 -0.0532548 -0.116736 -0.126943 -0.00410778 1.18912 0.684016 -0.355382
5.33971 -0.0864361 0.101507 0.578 0.471096 -0.163426 -0.0693758 -0.0231056 -0.040692 -0.0832003 -0.0268344 0.0263383 -0.249181 0.161116
5.67312 -0.0970753 0.0460686 0.586963 0.449468 -0.134176 -0.144374 -0.00486633 -0.0319106 -0.166279 0.0268828 0.629168 -0.41512 0.21789
5.97236 -0.0502849 -0.0408614 0.614519 0.430903 -0.112023 -0.185344 0.0062232 0.156363 -0.290501 0.0920845 -0.0018791 0.475215 -0.133385
6.34532 0.00777102 -0.0831043 0.630309 0.408834 0.0921631 0.0661485 -0.0477248 0.155662 -0.113264 0.0423372 2.24001 4.74821 -1.14451
6.37233 0.0136085 -0.0827002 0.630617 0.40728 -0.0830563 -0.213441 0.0239421 0.216156 0.0149661 0.0114286 -0.613505 0.288867 -0.0109197
6.44051 0.0254935 -0.0803372 0.631346 0.403385 -0.0355552 -0.208133 0.0242428 0.17433 0.0346597 0.0106842 -0.0103689 0.310523 -0.0185469
6.708 0.0713845 -0.0488463 0.632877 0.388458 0.0204712 -0.15625 0.0294282 0.171556 0.117724 0.0057229 0.151559 0.522495 0.0361257
6.9763 0.128321 0.0203483 0.637012 0.374041 0.0117808 -0.141813 -0.00641557 0.212219 0.257906 0.0154152 -0.905601 -0.494326 -0.596794
7.07574 0.14047 0.0411066 0.632644 0.368835 0.0390934 -0.0675562 0.0262229 0.122165 0.20875 -0.0439306 -0.549189 0.396475 0.0480175
7.31 0.138949 0.111768 0.624988 0.356854 0.0448561 -0.0501927 0.0142095 -0.00649053 0.30163 -0.0326819 -0.259189 -0.535469 -0.0405291
7.64989 0.106801 0.152429 0.609198 0.34016 -0.0479949 0.029196 -0.0309879 -0.094585 0.119631 -0.0464571 -1.06427 0.321572 -0.480744
7.71634 0.0958165 0.161798 0.603988 0.336988 0.00256779 0.00680099 -0.00219676 -0.165306 0.141 -0.0784027 -0.024855 -0.190939 0.0816503
7.94456 0.0567955 0.184032 0.590347 0.32632 -0.026017 0.0153581 -0.0129324 -0.170978 0.0974232 -0.0597683 0.144786 -0.330903 0.0948446
8.30882 0.0137261 0.175614 0.581161 0.309987 -0.0554795 0.0123322 -0.0167933 -0.118239 -0.0231105 -0.0252205 0.284137 -0.0685193 0.120254
8.41031 0.00465233 0.172562 0.57984 0.305584 -0.131897 -0.0248321 -0.0219205 -0.0894003 -0.0300649 -0.0130152 -0.785133 -0.577079 0.0429189
8.54564 -0.0218232 0.157926 0.578864 0.29981 -0.0982812 -0.0119882 -0.0244612 -0.195647 -0.108157 -0.00720726 0.281159 -0.0443516 0.00789609
8.98367 -0.0535762 0.10204 0.577222 0.281858 -0.079215 -0.0376017 -0.0420129 -0.0724897 -0.127585 -0.00374851 0.893966 0.461892 -0.250015
9.05816 -0.0540153 0.0950989 0.575556 0.278914 -0.131346 -0.10875 -0.0152831 -0.00589468 -0.0931764 -0.0223731 0.0122691 -0.565203 0.208492
9.21666 -0.0546414 0.0661331 0.577247 0.272752 -0.114472 -0.123955 -0.0176736 -0.00395012 -0.182757 0.0106715 0.278688 -0.226363 0.0974635
9.51633 -0.0307977 -0.0089629 0.589198 0.26147 -0.0760939 -0.1578 -0.010946 0.0795654 -0.250592 0.0398787 0.389082 0.508093 -0.0285397
9.781 0.017517 -0.0396951 0.597753 0.251894 -0.0120054 -0.137351 0.0139426 0.182545 -0.116114 0.032325 0.49146 1.11603 0.226609
9.84685 0.0316682 -0.0425019 0.600864 0.249567 0.0114915 -0.166469 0.0102944 0.214907 -0.0426253 0.0472468 0.590663 0.614872 0.101477
9.97611 0.0693151 -0.0377385 0.608667 0.245061 -0.00957843 -0.173701 0.00630749 0.291254 0.0368518 0.0603635 -0.411584 0.326591 -0.0993407
10.2451 0.11788 -0.00419322 0.617716 0.235943 -0.0459004 -0.2021 0.00621561 0.180539 0.124704 0.033641 -1.55735 -0.733415 -0.207582
10.3119 0.12299 0.000864597 0.619037 0.233731 0.0534035 -0.125755 0.0186949 0.0764936 0.0757055 0.0197726 0.0271236 0.426703 -0.0190171
10.6804 0.154859 0.0866973 0.623741 0.221901 0.0590661 -0.079844 0.0134536 0.0864881 0.232937 0.0127651 -0.385253 -0.388763 -0.168011
10.9467 0.150566 0.12116 0.615222 0.213724 0.026161 -0.00307837 0.00337088 -0.0161214 0.129393 -0.0319833 -0.681027 0.407848 -0.135103
11.0815 0.13602 0.14601 0.608457 0.209702 0.0304918 -0.0133669 0.00118363 -0.107915 0.184366 -0.0501935 -0.265664 -0.201531 -0.0422774
11.3876 0.0780948 0.183562 0.589131 0.200846 -0.0139776 0.00438901 -0.0132792 -0.189235 0.122677 -0.0631347 0.0533815 -0.411994 0.0450859
