t x y z s fx fy fz
0 0.0391061 0.0314174 0.535421 1 -0.000483229 -0.000247692 0.000562029
0.426235 0.0307003 0.0271088 0.545198 0.686684 -0.0173276 -0.0176317 0.0257098
0.526514 0.0217255 0.0205243 0.582275 0.628566 -0.030669 -0.0172876 0.072613
0.691227 -0.00707753 0.0287808 0.692667 0.543585 -0.054275 -0.00866362 0.157387
1.06619 0.0268353 0.0361622 0.575013 0.390537 -0.00619025 0.0175882 -0.112816
1.09308 0.0291133 0.0383518 0.560963 0.381385 -0.00709685 -0.00491676 -0.0255225
1.22659 0.0320654 0.0389181 0.558753 0.339024 -0.00662427 -0.00645719 -0.0200107
1.66024 0.00938785 0.0345628 0.642562 0.231283 -0.0328627 -0.0137975 0.0659324
2.3588 0.0319372 0.0382696 0.593889 0.124913 -0.00476484 -0.0114766 -0.00915684
2.99492 0.0219131 0.0309013 0.577468 0.0712818 -0.0255321 -0.0213803 -0.00231286
3.09452 0.013453 0.0295892 0.59757 0.0652877 -0.0297881 -0.0131969 0.0653025
3.1953 0.0079424 0.0375949 0.667938 0.0597358 -0.0352238 -0.00727344 0.120827
4.13091 -0.00110828 0.0574149 0.700712 0.0261761 -0.01876 -0.0159392 0.0377388
4.19695 0.00743005 0.0491208 0.677321 0.0246953 0.0190635 -0.00131244 -0.0135492
4.23079 0.0160627 0.0462813 0.659355 0.0239693 -0.00609824 -0.00817414 0.00376564
4.43919 0.043389 0.0501292 0.534556 0.0199452 0.0103901 0.000559248 -0.0976274
4.83502 0.00583921 0.0716033 0.693 0.0140682 -0.0302867 0.016159 0.0763023
5.06303 0.0395647 0.0441196 0.549827 0.0115058 0.00398737 -0.00759483 -0.0473312
