t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.229801 0.0712061 0.772359 1 -0.00144072 0.000305901 0.000502834 0 0 0 -0.0308882 0.00655834 0.0107804
0.334125 0.226353 0.0719383 0.773563 0.936152 0.0205128 -0.000729534 0.000113904 -0.0103205 0.0021913 0.00360202 0.0949642 -0.020661 -0.0455973
0.497632 0.227204 0.0717442 0.772932 0.906409 0.0253074 -0.00568653 0.000938702 0.00520678 -0.00118691 -0.00385345 -0.0545551 -0.109366 -0.00725014
0.629658 0.22694 0.0696811 0.772297 0.883084 0.0352798 0.00211979 -0.000229131 -0.00199592 -0.0156261 -0.00481066 0.0185036 0.135352 -0.0224355
0.765941 0.227012 0.0700655 0.771225 0.859636 0.0420081 -0.00242086 0.000154891 0.000525802 0.00282002 -0.00786823 -0.00466759 -0.00014485 0.00902096
1.12146 0.226609 0.0710497 0.769568 0.801358 0.062018 0.00166376 -0.00228664 -0.00113359 0.00276852 -0.00466115 0.0358755 0.0800049 -0.0279386
1.26614 0.227196 0.0731251 0.768309 0.778787 0.0676451 -0.00517819 -0.000911159 0.00405706 0.014344 -0.00870344 -0.0210491 -0.128114 0.0308812
1.43058 0.227294 0.0720194 0.767713 0.753905 0.0759229 -0.000480847 -0.00196409 0.000595654 -0.00672357 -0.00362521 -0.00994308 0.0424962 0.005376
1.67078 0.226863 0.0728562 0.767152 0.718982 0.0872865 -0.00324747 -0.00223781 -0.00179265 0.0034839 -0.00233392 0.00762921 -0.0461948 0.000665698
2.03378 0.227218 0.0680339 0.766392 0.66925 0.103361 -0.0199142 0.000501204 0.000976734 -0.0132847 -0.00209227 -0.00223119 -0.256387 0.0632679
2.34613 0.227305 0.0388711 0.771911 0.629219 0.112895 -0.0202811 0.00716137 0.000279825 -0.0933666 0.0176693 -0.0733285 0.523875 0.0402285
2.43401 0.226764 0.0347118 0.773775 0.618394 0.120895 -0.0504092 0.00561648 -0.0061648 -0.0473247 0.0212049 0.0478175 -0.11865 -0.0422271
2.73362 0.229209 0.0098823 0.776338 0.582869 0.135526 -0.0720245 0.00285686 0.00816176 -0.0828732 0.00855328 0.0376051 0.0267078 -0.140601
2.83335 0.230397 0.00188285 0.775792 0.571503 0.134917 -0.0809207 0.0109402 0.0119122 -0.0802095 -0.00546916 -0.0861938 0.00502305 0.0685562
3.13613 0.226102 -0.0219422 0.780421 0.538336 0.14167 -0.132676 0.0132547 -0.0141852 -0.0786887 0.015288 -0.0270918 -0.588967 -0.0288292
3.2678 0.223765 -0.0425143 0.781934 0.524519 0.148061 -0.0923032 0.0174665 -0.0177524 -0.156239 0.011492 0.0719813 0.86958 0.0329891
3.4016 0.222678 -0.0478512 0.784063 0.510842 0.151223 -0.162956 0.0169278 -0.00812112 -0.0398861 0.0159061 0.0506669 -0.75069 -0.0359369
3.43606 0.222458 -0.0501167 0.784568 0.507378 0.149406 -0.136031 0.0215089 -0.00637534 -0.0657519 0.0146678 -0.0107281 -0.0744414 0.052986
3.83374 0.218226 -0.0880381 0.798781 0.469059 0.154687 -0.170738 0.0314417 -0.0106417 -0.0953559 0.0357394 -0.0617761 0.060172 -0.0883835
4.06563 0.212437 -0.106914 0.802316 0.448065 0.153081 -0.197971 0.0323747 -0.0249669 -0.0814027 0.0152443 -0.0888186 -0.140874 -0.109909
4.20163 0.207398 -0.120591 0.802356 0.436193 0.157166 -0.199724 0.0355527 -0.0370461 -0.100561 0.000296842 0.0484053 0.154268 -0.0168272
4.60125 0.200324 -0.136141 0.799788 0.403095 0.13908 -0.490905 0.0438517 -0.0177021 -0.038912 -0.00642772 -0.452096 -5.86559 0.221119
4.63505 0.19921 -0.144153 0.799823 0.400414 0.18209 -0.0654108 0.0210439 -0.0329789 -0.237116 0.00104411 0.504772 3.80922 -0.283595
4.6831 0.198791 -0.146751 0.799218 0.396633 0.155694 -0.240658 0.0391616 -0.00872014 -0.054049 -0.0125851 -0.124639 -0.242452 0.143032
4.87707 0.19241 -0.166355 0.802158 0.381729 0.155859 -0.243325 0.0351996 -0.0328953 -0.101075 0.0151575 -0.0403318 0.214337 -0.0617197
5.03484 0.186216 -0.176967 0.803013 0.370019 0.131289 -0.319291 0.00737461 -0.0392586 -0.0672585 0.0054197 -0.502515 -1.24893 -0.66074
5.07263 0.184015 -0.181293 0.802274 0.367268 0.158643 -0.261052 0.0341072 -0.0582512 -0.114462 -0.019553 0.148654 0.183587 -0.0245385
5.40166 0.180941 -0.199079 0.793184 0.344165 0.161398 -0.284684 0.029481 -0.00934079 -0.0540582 -0.0276267 0.0211524 -0.0521997 0.081093
5.74123 0.180209 -0.223456 0.793154 0.321844 0.167491 -0.301655 0.0289534 -0.00215793 -0.071784 -8.94054e-05 0.000390275 0.145761 0.0122687
6.1175 0.179452 -0.229829 0.794857 0.298799 0.164335 -0.337305 0.0370975 -0.00201109 -0.0169394 0.00452684 -0.209608 -0.581715 0.13597
6.16957 0.178779 -0.232289 0.795462 0.295742 0.176601 -0.315886 0.0313159 -0.0129258 -0.0472304 0.011607 0.0677296 -0.0109736 -0.0152535
6.37315 0.178955 -0.242359 0.797192 0.284089 0.178525 -0.320542 0.0331265 0.000862522 -0.0494644 0.00850175 -0.00125512 0.112089 -0.0103842
6.73746 0.179102 -0.245502 0.798911 0.26437 0.185453 -0.324566 0.0348822 0.000405259 -0.00862858 0.00471862 0.00954375 0.0195147 -0.00708019
6.87903 0.179351 -0.246333 0.799438 0.257082 0.185759 -0.325674 0.0354506 0.00175634 -0.00586595 0.0037163 -0.0418807 0.00995841 -0.0059992
7.00963 0.178866 -0.246929 0.799821 0.250537 0.188365 -0.326726 0.0362758 -0.0037132 -0.0045654 0.00293282 -0.0100721 -0.000788583 0.00340995
