t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.194726 0.082756 0.723717 1 -2.9719e-05 -0.000703278 0.00153559 0 0 0 -0.00124425 -0.0294442 0.0642908
0.543792 0.194358 0.074049 0.742728 0.810834 0.0472821 -0.00892963 0.030064 -0.000676613 -0.0160115 0.0349608 0.0215212 0.0420603 -0.0723903
0.899791 0.196845 0.0736795 0.746 0.706827 0.0761182 -0.00811631 0.0357248 0.0069849 -0.00103813 0.00918995 0.00957796 0.0307986 -0.0980988
1.03282 0.197943 0.0740864 0.745487 0.671483 0.0836262 -0.00926512 0.0397092 0.00825906 0.00305901 -0.00386013 -0.0960549 -0.0512811 0.0635577
1.21343 0.196302 0.0729662 0.746863 0.626309 0.0950794 -0.00953391 0.0422674 -0.00908912 -0.00620272 0.00761884 0.0452795 0.0170018 -0.0264602
1.49992 0.197414 0.0725846 0.746873 0.560802 0.112576 -0.00998908 0.0456622 0.00388326 -0.00133178 3.80944e-05 -0.00161564 -0.00729015 0.0036235
1.74549 0.198271 0.071818 0.747101 0.510136 0.126389 -0.0121306 0.0492711 0.00348652 -0.00312196 0.000927886 0.0130848 -0.0604476 0.0335849
1.9315 0.199372 0.0691458 0.748436 0.474827 0.116377 -0.0136561 0.0518551 0.00592043 -0.0143658 0.00717502 -0.830156 0.0280677 -0.012953
1.97732 0.1979 0.0685464 0.748738 0.46651 0.135075 -0.0142515 0.0528349 -0.032123 -0.0130796 0.00658142 0.0699271 0.023041 -0.000108448
2.40096 0.196841 0.0671405 0.751506 0.3962 0.151023 -0.0233701 0.0601327 -0.00249934 -0.00331857 0.00653548 -0.0634357 -0.339609 0.0394514
2.6032 0.193741 0.0525787 0.754442 0.366476 0.15621 -0.0400488 0.06416 -0.0153287 -0.0720019 0.0145142 0.0210801 -0.172387 -0.00822916
2.80294 0.19152 0.0313191 0.757012 0.339309 0.164515 -0.0677383 0.0678767 -0.0111181 -0.106435 0.0128705 0.16219 -0.313874 -0.0121483
2.96886 0.19414 0.00501985 0.758813 0.31828 0.169447 -0.0907538 0.070619 0.0157915 -0.158511 0.0108549 -0.061424 0.017663 -0.0101234
3.40736 0.189254 -0.0610914 0.761627 0.268766 0.178269 -0.14392 0.0755181 -0.0111431 -0.150766 0.00641577 0.0961681 0.528387 -0.0119801
3.53865 0.189449 -0.0717777 0.762263 0.255498 0.178269 -0.158209 0.0764018 0.00148309 -0.0813924 0.00484286 -0.0978982 0.117177 -0.0240636
3.67192 0.187908 -0.0805436 0.762481 0.242699 0.18187 -0.165455 0.0786069 -0.0115636 -0.0657764 0.00163595 0.0325516 0.121759 0.0437907
3.90359 0.186976 -0.0892471 0.76521 0.221958 0.186397 -0.173469 0.0812378 -0.0040223 -0.0375682 0.0117811 0.0162248 0.0440534 -0.0426421
