t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.0594824 -0.0720203 0.777136 1 -0.00125098 0.00753777 -0.00926478 0 0 0 -0.0334129 0.20133 -0.247457
0.200279 0.0581422 -0.0639446 0.76721 0.951925 -0.0130813 0.000359698 -0.00776526 -0.0066919 0.0403221 -0.0495605 -0.0983123 -0.156339 0.0982563
0.33216 0.0555497 -0.0613461 0.762383 0.921537 -0.0173328 0.000988828 -0.00826631 -0.0196574 0.019704 -0.0366024 0.0143247 -0.0673513 0.133638
0.469911 0.0531137 -0.0599098 0.759877 0.890832 -0.0238324 0.000549831 -0.0110325 -0.0176842 0.0104262 -0.0181936 0.028366 -0.00197469 0.032993
0.868218 0.0505702 -0.0560703 0.757864 0.807684 -0.0379943 -0.00644638 -0.00598962 -0.00638579 0.00963971 -0.00505221 0.0357479 -0.0368652 0.0553906
0.968333 0.0502892 -0.0554747 0.757914 0.788035 -0.0420011 -0.00769859 -0.0068297 -0.00280688 0.00594895 0.000493217 0.00914134 -0.0176968 -0.0134337
1.3394 0.0505063 -0.0557039 0.756247 0.719286 -0.0524119 -0.0151817 -0.00366807 0.000585155 -0.000617729 -0.00449158 0.00217453 0.0131403 0.0161051
1.43625 0.0505834 -0.0556405 0.755963 0.702351 -0.0527424 -0.0180208 -0.00298512 0.000795765 0.000654943 -0.00293175 0.0609904 -0.0159686 0.0107793
1.52265 0.0511075 -0.0557031 0.75579 0.68758 -0.0569871 -0.0189158 -0.00308913 0.00606546 -0.000724773 -0.00200039 -0.0177352 0.00997966 -0.0135275
1.86948 0.0510778 -0.054754 0.753469 0.631348 -0.0650193 -0.0256932 -0.00153477 -8.55666e-05 0.00273643 -0.00669207 0.0163281 -0.0337969 0.0101287
2.08126 0.051792 -0.0556903 0.752506 0.599298 -0.0686753 -0.0278572 -0.00125663 0.00337236 -0.00442101 -0.00454703 0.0242064 0.0478935 -0.0137478
2.23648 0.0528987 -0.0552226 0.751469 0.576845 -0.0737802 -0.0277456 0.00262602 0.00712973 0.00301311 -0.00668099 -0.057598 0.0888469 0.0863926
2.30412 0.0531174 -0.0546123 0.751413 0.567326 -0.0744823 -0.0334926 0.000721256 0.00323374 0.00902281 -0.000837299 -0.0334218 -0.0663853 0.00765446
2.60782 0.0510169 -0.0579949 0.751864 0.526486 -0.0802289 -0.0435558 0.00367375 -0.00691635 -0.0111382 0.00148734 0.0627465 -0.0725613 0.00275923
