t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.0551375 -0.17564 0.982446 1 -0.00173834 0.00650566 -0.000285724 0 0 0 -0.0410049 0.153459 -0.0067398
0.299967 0.0514479 -0.161832 0.98184 0.936908 -0.00468694 -0.0422391 0.0273261 -0.0123001 0.0460327 -0.00202172 0.439094 -0.972126 0.490072
0.368078 0.0526472 -0.163207 0.983975 0.923146 -0.0289082 -0.0337643 0.0106073 0.0176071 -0.0201799 0.0313576 -0.128388 -0.502582 -0.0628565
0.435882 0.0532507 -0.166885 0.985813 0.909647 -0.0358284 -0.0113268 0.00841677 0.00890181 -0.0542569 0.0270957 -0.194067 0.281016 -0.185906
0.605104 0.0491998 -0.16802 0.985074 0.876811 -0.0430297 -0.02669 0.0147644 -0.0239387 -0.00670277 -0.00436365 0.0281678 0.0777186 -0.0424611
0.812167 0.0454507 -0.166075 0.98235 0.838241 -0.0552457 -0.039858 0.0185764 -0.0181062 0.00938987 -0.0131558 0.0830894 -0.039403 0.0244566
1.00775 0.0450878 -0.165746 0.980713 0.803369 -0.0682085 -0.0477007 0.0198689 -0.0018556 0.00168346 -0.00837258 -0.00705722 0.031193 -0.0121858
1.41958 0.0431266 -0.159762 0.975198 0.734609 -0.0900928 -0.0635625 0.0245296 -0.00476202 0.0145299 -0.0133911 0.0050089 -0.0239896 0.0498049
1.73621 0.0421209 -0.157567 0.975951 0.685774 -0.103092 -0.0768934 0.0283196 -0.00317607 0.00693414 0.00237846 0.0567408 -0.0281683 -0.0457992
1.90764 0.043244 -0.157206 0.975012 0.660702 -0.116502 -0.129265 0.0499554 0.00655123 0.00210514 -0.00547309 -0.133074 -1.0842 0.434477
1.93771 0.0433207 -0.158122 0.975241 0.656401 -0.113161 -0.0837417 0.032967 0.0025505 -0.0304905 0.00758908 -0.0178445 0.110502 -0.010997
2.20393 0.042735 -0.158408 0.976482 0.619512 -0.122428 -0.101486 0.0500134 -0.00220015 -0.00107234 0.0046614 0.0426895 -0.101996 0.266812
2.27354 0.0427887 -0.158977 0.978099 0.610214 -0.12581 -0.100832 0.0386434 0.000771424 -0.00817214 0.0232339 0.0197468 0.00772232 -0.104233
2.45197 0.043555 -0.160189 0.978926 0.587011 -0.131913 -0.113244 0.0438763 0.0042948 -0.00679426 0.00463581 0.0108609 -0.0949769 -0.0247197
2.67335 0.045038 -0.166348 0.978741 0.559447 -0.138503 -0.126195 0.0473694 0.00669914 -0.0278198 -0.000836515 0.00614084 -0.0155145 -0.00202808
3.14274 0.0495356 -0.182824 0.977901 0.505207 -0.147814 -0.160236 0.050612 0.00958163 -0.0351022 -0.00178849 0.0497174 -0.0301063 -0.0525232
3.30727 0.0524579 -0.189415 0.976185 0.487467 -0.150921 -0.171858 0.0524023 0.0177616 -0.0400556 -0.0104301 0.0130299 -0.0126464 -0.000248215
4.03993 0.0724654 -0.22555 0.96841 0.415734 -0.148108 -0.228236 0.0498434 0.0273081 -0.0493211 -0.0106119 0.0837617 0.0376995 -0.0736102
4.24343 0.0814911 -0.234026 0.963203 0.397755 -0.150832 -0.237918 0.0483652 0.0443533 -0.0416494 -0.0255913 -0.104931 0.120471 -0.00335497
4.43971 0.0861543 -0.237559 0.95805 0.381149 -0.145243 -0.252389 0.0480175 0.0237566 -0.0180023 -0.0262498 0.0753145 -0.0697591 0.0658185
4.57393 0.0906994 -0.241232 0.955713 0.370195 -0.139815 -0.259554 0.0427368 0.0338649 -0.0273651 -0.017416 0.150611 -0.0547629 -0.0522935
4.78943 0.104992 -0.249673 0.949531 0.353263 -0.139029 -0.268684 0.0425144 0.0663214 -0.0391664 -0.0286852 -0.119268 0.0738692 0.0656005
5.12527 0.113813 -0.254494 0.947296 0.328404 -0.136668 -0.280764 0.0419631 0.0262657 -0.0143577 -0.00665355 -0.0150934 0.0264612 -0.00936955
5.34013 0.118759 -0.256358 0.945434 0.313427 -0.132343 -0.289603 0.0409808 0.0230228 -0.00867231 -0.00866666 0.0807491 -0.0439501 -0.0254568
5.88109 0.154844 -0.273911 0.933296 0.278673 -0.104939 -0.315817 0.0332583 0.0667048 -0.0324475 -0.0224378 0.0243631 0.0481749 0.0124092
6.11121 0.171484 -0.278826 0.92879 0.265083 -0.092772 -0.325569 0.0316156 0.0723111 -0.0213618 -0.0195822 0.00107903 0.006988 0.0366488
6.285 0.184083 -0.282328 0.926494 0.255261 -0.0822204 -0.332044 0.028515 0.0724986 -0.0201473 -0.013213 0.0203554 0.00388116 -0.0227069
6.47739 0.198786 -0.28606 0.923111 0.244811 -0.08541 -0.323508 -0.00126043 0.076415 -0.0194006 -0.0175818 -0.337622 0.365753 -0.664722
6.50842 0.200831 -0.28631 0.921926 0.243167 -0.0688507 -0.33911 0.0313627 0.0659409 -0.0080538 -0.0382036 0.0382136 -0.00867407 0.171765
6.67591 0.212948 -0.287902 0.920346 0.234477 -0.060048 -0.325948 -0.0164476 0.0723412 -0.0095066 -0.00943502 0.00668647 0.404005 -1.00327
6.70846 0.21531 -0.287784 0.918975 0.232825 -0.0571918 -0.343792 0.0259633 0.0725589 0.00364536 -0.0420954 0.0293196 -0.0357437 0.0938422
6.97624 0.236842 -0.289371 0.914432 0.219666 -0.0434835 -0.348368 0.0253174 0.0804102 -0.00592623 -0.016966 -0.0807338 0.00719528 0.0966565
7.17606 0.249686 -0.290268 0.914901 0.210334 -0.0289388 -0.347665 0.0212044 0.064278 -0.00448847 0.00234782 0.0580098 0.108014 -0.0777795
7.34772 0.262429 -0.287855 0.913012 0.202634 -0.0234511 -0.3503 0.0222125 0.0742359 0.0140532 -0.0110037 -0.0808571 0.00440942 -0.00239779
7.60889 0.276302 -0.283884 0.909975 0.191456 -0.00348192 -0.349999 0.0194218 0.0531189 0.0152048 -0.01163 0.184861 -0.00540346 -0.0259209
7.69598 0.282331 -0.282601 0.908765 0.187868 -0.00430046 -0.348469 0.0205313 0.0692197 0.0147341 -0.0138876 0.0142098 0.0268465 0.0236998
8.00928 0.305412 -0.27535 0.906741 0.175506 0.0174922 -0.338183 0.0220056 0.0736716 0.023145 -0.00646261 0.0599901 0.168291 0.0566583
8.27916 0.329664 -0.256845 0.909123 0.165511 0.0325473 -0.327622 0.0222541 0.089862 0.0685643 0.00882862 -0.121946 -0.0440969 -0.0533638
8.61254 0.346069 -0.238888 0.906136 0.153947 0.0409279 -0.312693 0.0125573 0.0492079 0.0538633 -0.00896174 -0.145417 -0.00255467 -0.205811
8.67698 0.348636 -0.235428 0.904704 0.151807 0.130729 -0.246887 0.0403091 0.0398373 0.0536987 -0.022224 1.94689 1.4836 0.504703
8.74455 0.360216 -0.225027 0.905506 0.149595 0.0584793 -0.300394 0.0225374 0.171381 0.15394 0.0118768 -0.292743 -0.219707 -0.0114507
9.21172 0.376389 -0.201062 0.908556 0.135156 0.065795 -0.275968 0.0316281 0.0346195 0.0512988 0.00652731 -0.113209 0.110008 0.102734
9.34535 0.378994 -0.192242 0.911263 0.131289 0.0705406 -0.270297 0.0302914 0.0194908 0.0659997 0.0202562 -0.00402035 0.0321183 -0.0322247
9.68022 0.38507 -0.166539 0.914432 0.122076 0.0768343 -0.248368 0.0383418 0.0181445 0.076755 0.00946529 0.0677168 -0.0143008 0.0804003
9.74685 0.386579 -0.161488 0.91542 0.120322 0.0734889 -0.248837 0.0365797 0.0226566 0.0758021 0.0148225 -0.0441829 -0.130071 -0.000578438
9.9441 0.389329 -0.151597 0.918321 0.115274 0.0756745 -0.197448 0.0347561 0.0139415 0.0501455 0.0147084 -0.00417627 0.938695 -0.125636
10.0119 0.390255 -0.143886 0.918741 0.113589 0.071843 -0.234226 0.0383871 0.0136585 0.113767 0.00619335 -0.104133 -0.233015 -0.0365451
10.3119 0.384977 -0.13073 0.917309 0.106421 0.0641735 -0.217026 0.038128 -0.0175885 0.0438464 -0.00477261 -0.0450077 0.0606807 -0.00540517
10.6834 0.372234 -0.106071 0.91479 0.0981698 0.0486825 -0.195915 0.0357806 -0.0343064 0.0663859 -0.00678033 -0.0174564 -0.0120857 -0.0197657
10.8473 0.366143 -0.0955163 0.913148 0.0947361 0.044245 -0.194388 0.0363048 -0.0371671 0.0644053 -0.0100195 0.0513452 -0.196533 0.0287449
10.9816 0.362078 -0.0904114 0.912321 0.0920119 0.0358766 -0.180538 0.0349037 -0.0302716 0.0380116 -0.00615915 -0.045849 0.0847377 -0.000410891
11.1127 0.35732 -0.0839689 0.911506 0.0894272 0.000735015 -0.129491 0.0314869 -0.0362845 0.0491246 -0.00621304 -0.731966 1.13176 -0.0687662
11.1807 0.351465 -0.0753915 0.910765 0.0881154 0.0279846 -0.176613 0.0311306 -0.0860713 0.126105 -0.0108904 0.163028 -0.335227 -0.053427
11.3201 0.342636 -0.0643278 0.90821 0.0854873 0.0125663 -0.162006 0.0329969 -0.0633501 0.0793841 -0.0183365 -0.0221492 -0.134448 0.0593786
11.6808 0.316905 -0.053186 0.909321 0.0790441 -0.0303554 -0.143331 0.0397381 -0.071339 0.0308906 0.00308055 -0.366203 0.191224 0.129322
11.7759 0.306802 -0.0485158 0.910785 0.0774269 -0.00829115 -0.156018 0.0298452 -0.106182 0.0490848 0.015385 0.477274 -0.245146 -0.168964
11.9123 0.301198 -0.046381 0.909741 0.0751667 -0.0230358 -0.149472 0.0349514 -0.0410969 0.0156547 -0.00765626 0.139993 -0.0545271 0.0185237
12.0123 0.298489 -0.0453609 0.909161 0.0735518 -0.0395545 -0.143586 0.0349238 -0.0271026 0.0102039 -0.00580456 -0.204101 0.0831899 0.0232241
12.2801 0.276593 -0.0366621 0.909272 0.0693945 -0.0593959 -0.139265 0.0353589 -0.0817612 0.0324823 0.000414906 -0.0115476 -0.0376271 0.00634069
12.6206 0.247412 -0.0299642 0.910148 0.0644458 -0.0912896 -0.136284 0.0379488 -0.0856934 0.0196693 0.00257408 -0.0329923 -0.0632075 0.0286233
12.9192 0.218881 -0.0297269 0.913469 0.0603976 -0.149991 -0.122292 0.036034 -0.0955454 0.000794699 0.0111214 -0.695872 0.329772 -0.124019
12.9798 0.210529 -0.0284662 0.913688 0.0596071 -0.118408 -0.138984 0.0411088 -0.137742 0.0207914 0.00360113 0.340643 -0.1303 0.00423606
13.1804 0.196605 -0.0295381 0.91458 0.0570653 -0.126115 -0.137203 0.0429956 -0.0694148 -0.00534439 0.00445081 0.360718 0.0101464 0.018917
13.3159 0.193823 -0.0300761 0.915531 0.0554096 -0.168807 -0.142299 0.0442984 -0.0205296 -0.00396932 0.00701447 -0.672381 -0.088539 0.0172754
13.484 0.171384 -0.0332436 0.917198 0.0534231 -0.165762 -0.141468 0.0460386 -0.133524 -0.0188484 0.00991762 0.180896 0.051254 0.00743412
13.7855 0.147569 -0.0342666 0.920864 0.0500353 -0.20074 -0.14472 0.0494537 -0.0789747 -0.00339274 0.0121594 -0.174072 -0.0099269 -0.0125244
13.9841 0.125024 -0.0353317 0.922785 0.0479226 -0.213022 -0.144458 0.0532042 -0.11354 -0.0053639 0.00967243 0.15559 0.040507 0.030093
14.2513 0.105794 -0.0338725 0.927519 0.0452196 -0.234954 -0.144267 0.0559172 -0.0719618 0.00546071 0.0177141 0.0228418 0.00688972 -0.0419559
14.4482 0.092514 -0.0325307 0.92938 0.0433266 -0.241858 -0.141043 0.0566169 -0.0674657 0.00681687 0.00945562 0.176841 0.0618403 -0.0571244
14.616 0.0861726 -0.0296458 0.929358 0.0417756 -0.249126 -0.141024 0.063387 -0.037793 0.0171932 -0.000129458 0.103125 -0.0166626 0.119054
14.7202 0.0833541 -0.028035 0.930638 0.0408403 -0.251204 -0.141787 0.0584637 -0.027046 0.0154568 0.0122775 0.104391 -0.0623515 -0.0560026
14.8836 0.0817222 -0.0271743 0.931148 0.0394156 -0.264105 -0.127282 0.0560469 -0.00998427 0.00526599 0.00312436 -0.187571 0.291089 -0.109655
15.1194 0.0689432 -0.00975409 0.92579 0.0374476 -0.269691 -0.114773 0.0530045 -0.0542048 0.0738914 -0.0227272 0.0890305 0.0443973 -0.0058873
15.6842 0.0667317 0.0461497 0.911074 0.0331228 -0.262286 -0.0291244 0.0367285 -0.00391522 0.0989696 -0.0260527 0.239702 0.723769 -0.0475334
15.7563 0.0676936 0.0570352 0.908951 0.0326084 -0.270856 -0.0658786 0.0375493 0.0133524 0.151108 -0.0294769 -0.0180247 -0.506342 0.0277307
15.8844 0.0691082 0.0680834 0.90563 0.0317134 -0.265231 -0.0343474 0.0326858 0.0110434 0.0862448 -0.0259245 0.0923636 0.120016 -0.0186043
16.2518 0.0856353 0.115975 0.893593 0.0292802 -0.254689 -0.00293023 0.0256334 0.0449804 0.130342 -0.0327603 -0.103574 -0.34438 0.106724
16.5519 0.0898065 0.124078 0.893372 0.0274323 -0.240641 0.0286016 0.0202163 0.0139009 0.0270042 -0.000735826 0.207762 0.439388 -0.0884861
