t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.169264 0.0710481 0.773529 1 -0.00304702 -0.000462066 -0.00216715 0 0 0 -0.0810557 -0.0122917 -0.0576499
0.273701 0.163192 0.0701273 0.76921 0.935139 0.00537559 0.00919732 0.00264351 -0.022185 -0.00336426 -0.0157789 -0.0311527 0.229507 0.0846148
0.340902 0.16156 0.0709376 0.768532 0.919869 0.0141424 -0.00405322 0.00688502 -0.0242785 0.0120588 -0.0100927 0.15898 -0.192454 0.169436
0.404947 0.160657 0.0709205 0.76858 0.905547 0.000119624 -0.00200671 -0.00467344 -0.0140967 -0.000266938 0.000758874 -0.300034 -0.118754 -0.195652
0.57578 0.149493 0.0674092 0.763 0.868427 0.00961588 -0.000795082 -0.000220978 -0.0653524 -0.0205541 -0.0326649 0.149205 0.0278794 0.0717059
0.909601 0.144304 0.0636546 0.760086 0.800225 0.0173352 -0.00283609 0.00148885 -0.0155445 -0.0112474 -0.00872797 -0.034393 0.00120889 -0.00750652
1.0463 0.141536 0.0621397 0.758753 0.773868 0.016235 -0.00635336 -0.00239146 -0.0202458 -0.0110821 -0.00975408 -0.136712 -0.0718176 -0.128952
1.17594 0.136614 0.0594958 0.755321 0.749673 0.00303224 -0.0121545 -0.00753143 -0.0379702 -0.0203931 -0.0264724 -0.459716 -0.151428 -0.186136
1.44182 0.0940216 0.0433696 0.735125 0.702394 0.0021254 -0.00990236 0.0133482 -0.160196 -0.0606539 -0.075961 0.656831 0.398522 0.923605
1.47324 0.089636 0.041857 0.73365 0.697007 -0.0202714 -0.0232115 -0.0172439 -0.139555 -0.04813 -0.046936 0.0963231 0.0509547 0.0685067
1.87335 0.0492194 0.030757 0.725838 0.631922 -0.0431654 -0.0314123 -0.0183052 -0.101016 -0.0277429 -0.0195262 0.0809497 0.0317513 0.0442719
2.20903 0.0244317 0.025022 0.724272 0.582028 -0.0565228 -0.0352321 -0.0153107 -0.0738419 -0.0170844 -0.00466476 0.0215354 0.0206786 0.0239671
2.3414 0.0150347 0.0231229 0.724074 0.563455 -0.0679532 -0.0356222 -0.0160364 -0.0709913 -0.0143472 -0.00149227 -0.150577 0.0406598 -0.0371884
2.68822 -0.0276988 0.0230377 0.719083 0.517554 -0.0929867 -0.0328339 -0.0179879 -0.123215 -0.000245566 -0.01439 0.169611 0.0498196 -0.0234076
2.94239 -0.0480591 0.0261938 0.713914 0.486306 -0.0945525 -0.0289086 -0.0187681 -0.0801045 0.0124172 -0.0203395 0.379855 0.0171942 0.0409675
3.05674 -0.0522521 0.0278385 0.712123 0.47287 -0.119824 -0.0269628 -0.0236646 -0.0366685 0.0143833 -0.015655 -0.364676 0.0106539 -0.0814267
3.17704 -0.0619411 0.0297231 0.709062 0.459136 -0.131692 -0.0133316 -0.0250099 -0.0805395 0.015665 -0.0254507 -0.400529 0.309993 -0.0417087
3.28183 -0.0747792 0.0347687 0.705937 0.447498 -0.112117 -0.0263699 -0.0267277 -0.122511 0.0481495 -0.0298214 0.491883 -0.256911 -0.0186618
3.38521 -0.0821874 0.0370007 0.702654 0.436305 -0.131743 -0.0150044 -0.0281642 -0.0716604 0.02159 -0.0317506 -0.0211498 0.0410263 0.0111943
4.07837 -0.142021 0.0716775 0.686025 0.368158 -0.153583 0.0349089 -0.0434942 -0.0863205 0.0500276 -0.0239913 0.616253 0.328606 -0.117829
4.1469 -0.145042 0.0766492 0.683827 0.362028 -0.175267 0.0291665 -0.0426566 -0.0440881 0.0725473 -0.0320662 -0.0173985 -0.0144923 -0.0309317
4.24858 -0.149705 0.083876 0.680247 0.35312 -0.176184 0.0299254 -0.0396482 -0.0458572 0.0710737 -0.0352113 0.033114 -0.189587 0.132851
