t x y z s fx fy fz
0 -0.0197993 0.122743 0.620286 1 -0.036018 -0.0323783 -0.126156
0.132808 -0.0480408 0.0973551 0.521367 0.947074 -0.0346305 -0.0297231 -0.130085
0.701342 -0.0229153 0.11676 0.594494 0.750391 -0.0982892 -0.159569 -0.490184
0.768578 -0.0422048 0.0839281 0.506656 0.730015 -0.00246811 -0.0197751 -0.0726927
1.03243 -0.0157583 0.0884226 0.636172 0.65526 0.0274035 -0.00811097 0.0574534
2.63996 -0.0479417 0.0719209 0.488111 0.339284 0.00398702 -0.00262977 -0.121324
3.37004 0.0109333 0.0896999 0.608892 0.251617 0.156136 0.137986 0.253696
3.43622 0.0324812 0.113586 0.666101 0.244891 0.10175 0.0615672 0.0934883
3.97865 0.0145125 0.0939554 0.580434 0.196118 0.0691218 0.0271809 -0.0388903
5.53659 -0.00726379 0.118656 0.497946 0.10363 0.0408617 0.0456966 -0.115407
5.77248 -0.0408226 0.080806 0.476888 0.0940891 0.012193 0.0130868 -0.130192
6.67246 -0.0361509 0.0625125 0.608889 0.0650885 0.0538525 0.0349895 0.068518
6.8408 -0.00235589 0.0956963 0.697847 0.0607532 0.0740935 0.0549189 0.127354
7.84532 -0.0301941 0.115959 0.6308 0.0402667 0.00696969 0.0292652 0.0126307
8.00837 -0.0641665 0.0772445 0.610326 0.0376663 1.41279 0.529716 0.506086
8.04001 -0.00705622 0.0931692 0.629103 0.0371814 0.111898 0.0601837 0.0415079
8.4406 -0.0486339 0.114537 0.605452 0.0315569 0.0101428 0.0635727 -0.00187008
9.24431 -0.0433611 0.0594028 0.61244 0.022708 0.022518 0.00293281 0.00936058
10.9921 -0.0443814 0.122186 0.61814 0.0111015 0.00519819 0.0185005 -0.0624863
11.1459 -0.0615899 0.0688071 0.5374 0.0104243 0.00856604 0.0229132 0.147397
