t x y z s fx fy fz dx dy dz ddx ddy ddz
0 -0.00196081 0.011308 0.78242 1 -0.00311098 0.00959678 0.00456705 0 0 0 -0.0774417 0.238893 0.113687
0.297852 -0.00883112 0.0325016 0.792506 0.93399 -0.0132483 0.00202655 -0.00339648 -0.0230662 0.0711547 0.033862 -0.203205 -0.614845 -0.362446
0.402654 -0.0134804 0.0332056 0.792074 0.911815 -0.0131362 0.018036 0.00428002 -0.0443625 0.00671763 -0.00412302 -0.0694447 -0.0834219 -0.0597105
0.56411 -0.0224533 0.0321156 0.789852 0.878679 -0.0109534 0.0191324 0.00591918 -0.0555747 -0.00675133 -0.0137636 0.185128 0.0113864 0.0822541
0.812205 -0.0248462 0.0311415 0.7915 0.830094 -0.0133988 0.017636 0.00502396 -0.0096453 -0.00392643 0.0066432 0.0110539 0.00733408 0.00925136
1.12982 -0.0267946 0.0306342 0.794543 0.771795 0.0378938 -0.018008 0.0304126 -0.00613446 -0.00159703 0.00958154 1.24396 -0.854224 0.601845
1.16602 -0.0253861 0.0294567 0.795679 0.765415 -0.0117556 0.0185078 0.00375925 0.0389031 -0.0325243 0.0313714 -0.136561 0.154938 -0.133731
1.42999 -0.0246322 0.031667 0.794642 0.720466 -0.00355785 0.0157328 0.00355395 0.00285612 0.00837353 -0.00392872 0.0637671 -0.0461233 -0.00136179
1.5302 -0.0237055 0.0320429 0.794235 0.704101 -0.00666765 0.0166764 0.00463323 0.00924673 0.00375114 -0.0040652 -0.0746923 -0.016566 0.0479906
1.76563 -0.0256686 0.0320078 0.795938 0.667102 -0.00681906 0.0189923 -0.00221573 -0.00833814 -0.000149015 0.00723326 -0.0441352 0.0622463 -0.162828
1.92971 -0.0282249 0.0336591 0.792741 0.642473 -0.0032349 0.017067 0.00189096 -0.0155798 0.0100642 -0.0194832 0.0890999 -0.0418021 0.0965812
2.09802 -0.028323 0.0341689 0.792198 0.618153 -0.00485984 0.0180484 -0.000617175 -0.000583168 0.00302844 -0.00322739 -0.0175907 -0.00676589 0.0293678
2.23545 -0.0287354 0.0344573 0.792309 0.598979 -0.00372475 0.0172368 0.000291784 -0.00300058 0.00209864 0.000808506 -0.00151217 -0.0260664 0.0543486
2.46833 -0.0295162 0.0335323 0.795444 0.567837 -0.00536186 0.0152546 -0.000472968 -0.00335273 -0.00397172 0.0134653 -0.0672397 -0.0290993 -0.048016
2.5976 -0.0310731 0.0325327 0.796383 0.551254 -0.00379756 0.015217 0.00135771 -0.0120447 -0.00773332 0.00725834 0.00574621 0.00842616 0.000218379
2.90099 -0.0341985 0.030962 0.798605 0.514213 -0.00260495 0.0130893 0.00150588 -0.0103013 -0.00517689 0.00732459 0.0555954 0.000484805 -0.0243065
3.16591 -0.0330258 0.0296246 0.79884 0.48391 -0.00127427 0.0123713 0.00170129 0.00442674 -0.00504846 0.000885449 -0.0172402 0.0251239 0.0113494
3.37016 -0.0328408 0.0296416 0.799494 0.461771 0.000120209 0.0115349 0.000365915 0.000905455 8.30679e-05 0.00320355 -0.0114189 -0.000600929 -0.0270537
3.5496 -0.0330461 0.0296371 0.799198 0.443159 0.000179123 0.0118708 -0.000408522 -0.00114363 -2.47671e-05 -0.00165116 -0.0272929 0.0139495 -0.0144534
3.73494 -0.0341955 0.0301117 0.798395 0.424722 0.00222525 0.0113102 0.000901698 -0.00620194 0.00256054 -0.00432986 0.0367611 -0.0117923 0.0576657
3.86569 -0.0343779 0.0302449 0.798815 0.412179 0.00136605 0.0111792 -0.000657179 -0.00139523 0.00101864 0.00321022 -0.00899143 -0.0110003 0.000852226
4.36791 -0.0373464 0.027982 0.800642 0.367349 0.00176547 0.00940927 -0.000890239 -0.00591085 -0.00450586 0.00363822 0.0198428 0.0276319 -0.0184043
4.66997 -0.0373214 0.0291421 0.800062 0.34277 0.00289102 0.0104622 -0.00018297 8.28715e-05 0.00384065 -0.00192097 -0.00177747 0.0140912 0.0441069
4.76967 -0.0373308 0.0296651 0.800309 0.335023 0.00363961 0.00915207 -0.00696161 -9.43438e-05 0.00524555 0.00247653 0.00624412 -0.0322399 -0.134872
4.86957 -0.0372779 0.0298674 0.79921 0.327437 0.00375019 0.0145651 -0.000349422 0.000529482 0.00202459 -0.010998 -0.00471905 0.107023 0.0926593
4.96962 -0.0372722 0.0311412 0.799037 0.320011 0.00434814 0.0106872 -0.00379392 5.7349e-05 0.012732 -0.0017276 0.000298178 -0.0427301 -0.00395944
5.27009 -0.037228 0.0311091 0.798161 0.298708 0.00567861 0.010788 -0.00477886 0.000146941 -0.00010687 -0.00291727 0.00120392 -0.00415333 0.0116636
5.53982 -0.0371008 0.030778 0.798222 0.280795 0.0064994 0.0111212 -0.00522519 0.000471683 -0.00122718 0.000228843 -0.00825104 0.0204937 0.00519109
5.70158 -0.0372404 0.0311157 0.798395 0.270572 0.00714938 0.00433094 -0.00460425 -0.000862962 0.00208777 0.00106853 -0.000460544 -0.161117 0.0219971
5.80498 -0.0373345 0.029609 0.798741 0.264233 0.00754536 0.00923711 -0.00572413 -0.000910584 -0.0145721 0.00334307 0.00264708 0.0376022 -0.0148857
6.27489 -0.0371779 0.0310646 0.797025 0.237245 0.00897287 0.00980837 -0.00760323 0.000333309 0.00309761 -0.00365187 -0.00765194 -0.0152879 0.0164854
6.7017 -0.0384296 0.0296017 0.798469 0.215129 0.00907415 0.00945818 -0.00815658 -0.00293262 -0.00342744 0.00338428 0.00120329 0.0338749 -0.0326405
6.8016 -0.0387105 0.0295974 0.798482 0.210258 0.00886563 0.00837479 -0.00661625 -0.00281242 -4.34311e-05 0.000123582 -0.00433059 0.00100767 0.0162393
6.97003 -0.0393071 0.0296186 0.798963 0.202293 0.00978862 0.00862269 -0.00686559 -0.0035418 0.000126286 0.0028587 0.0235606 0.00876941 -0.00218322
7.20739 -0.0388203 0.0301427 0.799519 0.191578 0.00967713 0.00798039 -0.00807517 0.00205075 0.00220787 0.00234047 -0.019334 -0.0215391 -0.0370858
7.31191 -0.0388171 0.0301382 0.799358 0.187042 0.0103961 0.00841651 -0.00739872 3.00367e-05 -4.33106e-05 -0.00153559 -0.00359939 -0.0041349 -0.00428427
7.6699 -0.0392677 0.0295928 0.798259 0.172303 0.0178643 0.00965936 0.000694307 -0.00125849 -0.00152355 -0.0030693 0.175002 0.0482989 0.238785
7.70579 -0.0390873 0.0296003 0.798457 0.170891 0.0112868 0.00769153 -0.0130024 0.00502372 0.000210279 0.00550257 -0.00925854 -0.00429152 -0.125131
7.80593 -0.0386771 0.0295783 0.797753 0.167012 0.00982702 0.0093067 -0.00893666 0.00409661 -0.000219456 -0.00702749 -0.0593724 0.0386352 0.0243471
8.00575 -0.0402292 0.0310771 0.797321 0.159534 0.00979229 0.00891019 -0.0111653 -0.00776719 0.00750063 -0.00216244 -0.00604074 -0.023387 -0.0257044
8.34371 -0.0435441 0.0309409 0.793654 0.147639 0.0094105 0.00975066 -0.0144277 -0.00980871 -0.000403189 -0.0108495 0.0542577 0.0222555 0.0124534
8.6057 -0.0423897 0.0323628 0.791667 0.139032 0.0080542 0.0115811 -0.0168302 0.00440611 0.00542748 -0.00758683 -0.0523798 0.0221426 0.00119343
8.7738 -0.0431293 0.0339009 0.790425 0.133775 0.00747661 0.00931586 -0.0148426 -0.00439929 0.0091498 -0.00738621 -0.0363716 -0.0791742 0.0849999
9.07392 -0.0477256 0.0295157 0.795864 0.12488 0.000669106 0.00709726 -0.00775673 -0.015315 -0.0146117 0.0181236 -0.080021 0.030454 0.0757378
9.20603 -0.0511453 0.0281169 0.79958 0.121154 0.00100668 0.00581404 -0.00897552 -0.0258863 -0.0105885 0.0281291 0.0316404 0.0255423 -0.0666415
9.4383 -0.055451 0.0270355 0.802519 0.114871 -0.00174932 0.00464391 -0.00547698 -0.018537 -0.00465562 0.0126499 0.0447357 0.0120945 -0.0136076
9.84188 -0.0556458 0.0271265 0.805407 0.104719 -0.00167866 0.00386126 -0.00548943 -0.000482691 0.000225439 0.0071582 -0.0035868 -0.017336 -0.0661343
9.97412 -0.0557724 0.0268532 0.805198 0.101592 -0.00188997 0.00414423 -0.00362344 -0.000956995 -0.00206701 -0.00158714 -0.00917922 0.00259695 0.00731244
10.3076 -0.0571124 0.0264527 0.805482 0.0941135 -0.00189631 0.00299694 -0.000155579 -0.00401815 -0.00120096 0.000851468 0.0199828 -0.0155752 0.0866415
10.4096 -0.0573143 0.0261683 0.806469 0.0919388 -0.00221433 0.00336399 -0.00388799 -0.00198056 -0.00278912 0.00968603 0.00940084 0.00485934 -0.0489253
10.6262 -0.0573022 0.0257921 0.806272 0.0874843 -0.0026418 0.00283101 -0.00350151 5.57999e-05 -0.00173651 -0.00091192 -0.0125395 9.11766e-06 -0.00751366
10.9419 -0.0585348 0.0252447 0.805235 0.0813749 0.00386611 -0.0116353 0.00181159 -0.00390355 -0.00173364 -0.00328436 0.180093 -0.344564 0.160337
11.0058 -0.0580493 0.023728 0.805679 0.0801918 -0.00329441 0.00417826 -0.00527003 0.00760045 -0.0237438 0.00695768 -0.03757 0.136214 -0.0489427
11.1799 -0.0578645 0.0237217 0.805407 0.0770548 -0.00178936 0.00074588 -0.00571271 0.00106158 -3.63449e-05 -0.00156054 0.00530236 -0.000870977 -0.0319273
11.4421 -0.0572215 0.0236523 0.802803 0.0725584 -0.00144635 0.000714366 -0.00465767 0.00245209 -0.000264753 -0.00993328 -0.0117878 0.00199178 0.0811304
11.6421 -0.0572026 0.023679 0.804062 0.0693059 -0.00590871 0.00315151 -0.00209968 9.41659e-05 0.000133665 0.00629533 -0.122808 0.0621272 0.0797196
11.7418 -0.0584136 0.0243097 0.805482 0.0677399 -0.00386214 0.00033467 -0.00361892 -0.0121481 0.00632687 0.0142423 -0.0167331 -0.0369904 -0.00998245
12.074 -0.0642958 0.0223294 0.809111 0.0627721 -0.0033124 2.68639e-05 -0.00092901 -0.0177068 -0.00596126 0.0109261 0.148543 0.0335611 -0.0223366
12.2599 -0.0624537 0.0223811 0.81037 0.0601528 -0.00956182 0.00180551 -0.00111665 0.00990861 0.000278026 0.00677356 -0.118165 0.0634801 -0.0471815
12.3452 -0.0624676 0.022866 0.810605 0.0589886 -0.00564181 -0.000474943 0.000493811 -0.000163459 0.00568888 0.00275195 0.000498013 -0.01704 -0.00312084
12.618 -0.0624752 0.0231496 0.811123 0.0554116 -0.00545225 8.01572e-05 0.000590354 -2.75808e-05 0.00103968 0.00190046 -8.93836e-05 0.00119018 -0.00909768
