t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.128301 -0.0812766 0.708763 1 -0.00474514 -0.00355449 -0.00444643 0 0 0 -0.222151 -0.166408 -0.208166
0.057429 0.127568 -0.0818254 0.708076 0.975541 0.184144 0.155801 -0.232151 -0.0127579 -0.00955667 -0.0119548 8.6916 7.35203 -10.8186
0.067497 0.128321 -0.0811764 0.706859 0.971315 8.6991e-05 -0.000155446 -0.000542292 0.0747489 0.0644633 -0.120876 -0.329907 -0.290964 0.532029
0.267599 0.130068 -0.0799276 0.703974 0.891021 0.00346807 0.00229213 -0.0025781 0.0087337 0.00624083 -0.0144157 -0.0331152 -0.0164098 0.0200169
0.59956 0.129318 -0.0796642 0.701395 0.772188 0.00410865 0.00310524 -0.00106463 -0.00225925 0.000793415 -0.00777087 -0.00502527 -0.0054078 0.0270002
0.840482 0.128482 -0.079787 0.70109 0.695995 0.00592326 0.00324573 0.0012702 -0.00346995 -0.000509444 -0.00126593 0.0708914 -0.0117016 0.0228022
0.967912 0.129191 -0.0800419 0.701299 0.658784 0.0051286 0.00367728 0.0011076 0.00556373 -0.00200057 0.00163975 -0.0633356 0.0149243 -0.0558654
1.13799 0.128305 -0.0799504 0.699962 0.612199 0.00637189 0.0038768 0.00291351 -0.00520845 0.000537776 -0.0078619 0.0488965 -0.00536458 0.0695936
1.28854 0.12863 -0.0799911 0.700355 0.57372 0.00508203 0.00514363 0.00241607 0.00215282 -0.00026985 0.00261528 -0.0843777 0.0470708 -0.066778
1.47418 0.126121 -0.078419 0.698539 0.529586 0.00204762 0.0083492 0.000538754 -0.013511 0.00846833 -0.00978132 -0.0742658 0.0730116 -0.07599
2.0047 0.0980514 -0.0533773 0.671963 0.421297 -0.0302004 0.0520387 -0.02597 -0.0529104 0.0472023 -0.0500954 -0.180566 0.74963 -0.0469093
2.20389 0.0803483 -0.0142334 0.660123 0.386623 -0.0432386 0.0788319 -0.0321794 -0.0888768 0.196519 -0.0594391 0.164204 -0.46479 0.21004
2.43661 0.0685579 0.00632791 0.657667 0.349708 -0.0538541 0.0969691 -0.0329388 -0.0506617 0.0883483 -0.0105564 0.0333929 -0.136992 0.0361033
2.62162 0.0603281 0.017984 0.656949 0.322894 -0.0599191 0.106198 -0.0331569 -0.0444838 0.063004 -0.00387714 0.0901329 -0.15298 -0.00388211
2.80438 0.0552088 0.0243889 0.656111 0.298425 -0.0678297 0.128701 -0.0324708 -0.0280111 0.0350453 -0.00458664 -0.12662 0.710037 0.0381617
2.87174 0.0527477 0.0299706 0.655975 0.289882 -0.0671637 0.118806 -0.0332835 -0.0365396 0.08287 -0.00201626 0.0495226 -0.217477 -0.0155605
3.07169 0.0474214 0.0378457 0.65495 0.265936 -0.0713923 0.125909 -0.0339623 -0.0266372 0.0393842 -0.00512767 0.0427111 -0.0791197 -0.0179115
