t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.258405 -0.195754 1.01506 1 0.00569154 -0.00187684 -0.0107891 0 0 0 0.0738376 -0.0243487 -0.139969
0.165552 0.260429 -0.196421 1.01123 0.980413 0.00147495 0.00238218 0.0119396 0.012224 -0.00403097 -0.0231722 -0.00670417 0.035589 0.24291
0.336884 0.262327 -0.196067 1.01439 0.960546 -0.00158796 0.00128299 -0.00850226 0.0110753 0.00206655 0.018446 -0.0549169 0.000886307 -0.100059
0.542054 0.262287 -0.195606 1.01396 0.937284 0.00112099 0.00146955 -0.00247613 -0.000191975 0.00224839 -0.00208307 0.01115 -0.0131623 0.0209747
0.799737 0.262978 -0.1959 1.01481 0.908865 -0.000765713 0.00313035 -0.00418678 0.00268119 -0.0011433 0.00332174 -0.00444167 0.00359016 -0.00211375
2.56574 0.253861 -0.186722 1.01409 0.735964 -0.0156589 0.0204629 -0.0235629 -0.0051628 0.00519693 -0.000411132 0.0586015 0.0256677 -0.139469
2.66969 0.253957 -0.185905 1.01254 0.72688 -0.0323056 0.0287281 -0.010582 0.00092882 0.00786508 -0.0149089 -0.158909 0.115178 0.0711317
2.88162 0.247016 -0.179064 1.01257 0.708703 -0.0281078 0.0292394 -0.0188145 -0.0327501 0.0322758 0.000166599 0.0382238 -0.00328382 -0.0430804
3.27378 0.240051 -0.166912 1.00601 0.676261 -0.0326589 0.0342698 -0.0257545 -0.0177606 0.030988 -0.0167275 0.0763241 -0.108507 -0.00959791
3.35769 0.239098 -0.165076 1.00454 0.669515 -0.0394817 0.0471818 -0.027191 -0.011356 0.0218829 -0.0175329 -0.00222989 0.0427667 -0.0043004
3.83394 0.233184 -0.144954 0.995217 0.632479 -0.0471747 0.0676239 -0.0393461 -0.012418 0.0422506 -0.0195809 0.00352834 0.00692996 -0.0171572
4.27023 0.228438 -0.125201 0.983408 0.600351 -0.0541352 0.0825739 -0.0495047 -0.0108786 0.0452741 -0.0270665 -0.0030384 -0.0730748 0.0315703
4.50183 0.225756 -0.118636 0.978833 0.583966 -0.0582102 0.0988008 -0.0572396 -0.0115822 0.0283506 -0.0197551 -0.00807618 0.0646625 -0.00840498
4.9454 0.219029 -0.093337 0.968417 0.553821 -0.0770415 0.101971 -0.0876047 -0.0151647 0.0570334 -0.0234833 -0.138486 -0.269016 -0.245392
5.00165 0.217738 -0.0909801 0.966319 0.550111 -0.0678783 0.130068 -0.0698318 -0.0229541 0.041902 -0.0372859 0.00894314 0.0808421 0.0305541
