t x y z s fx fy fz
0 0.0388499 0.032392 0.599877 1 0.00129524 0.000308741 0.00474969
0.134477 0.0405702 0.032802 0.606185 0.913045 -0.00129649 -0.00676288 -0.0255465
0.297875 0.0442752 0.0395077 0.592889 0.8175 -0.00504906 -0.0139208 -0.0631821
0.497615 0.0428233 0.0405652 0.589272 0.714178 -0.0138916 -0.0269701 -0.0939675
0.59816 0.0414755 0.0405497 0.588654 0.667218 -0.017188 -0.0322945 -0.108941
0.866196 0.0403164 0.0414121 0.586432 0.556573 -0.0243739 -0.0449157 -0.143386
1.16592 0.0387884 0.0416393 0.584815 0.454431 -0.0349232 -0.0593337 -0.175282
1.26567 0.0359905 0.0402001 0.583827 0.424776 -0.0621978 -0.072565 -0.188546
1.42999 -0.0159276 0.0202045 0.574586 0.380089 -0.114172 -0.0950661 -0.20952
1.76602 -0.0855987 0.00961613 0.569012 0.302806 -0.176902 -0.109681 -0.234844
2.29817 -0.0699721 0.0134841 0.577853 0.211263 -0.204826 -0.107827 -0.268127
2.36846 -0.0872923 0.0164193 0.572654 0.201453 -0.172056 -0.108751 -0.265577
2.73763 0.040961 0.0411839 0.557036 0.156934 -0.0298606 -0.0785814 -0.280169
2.90205 0.0688582 0.0710903 0.574595 0.140415 -0.0691593 -0.125702 -0.294217
2.96588 0.0602153 0.0600242 0.573099 0.134481 -0.0501815 -0.092919 -0.280798
3.28243 -0.0549322 0.00937851 0.56948 0.108558 -0.144647 -0.135265 -0.29189
3.50237 -0.0185018 0.0127114 0.565293 0.0935502 -0.0798826 -0.120475 -0.28285
3.60186 0.00860103 0.0203732 0.57635 0.0874613 0.0601408 0.00456911 -0.263902
3.6657 0.0614095 0.061523 0.588185 0.0837648 1.69037e-05 -0.0563707 -0.272487
4.01013 -0.0371533 0.0104029 0.563638 0.0663547 -0.142897 -0.142749 -0.313165
4.53392 0.0592145 0.062619 0.561745 0.0465573 -0.109698 -0.136707 -0.320936
4.63364 0.0104737 0.0291072 0.558173 0.0435204 -0.113537 -0.132477 -0.26595
4.93409 -0.0476266 0.0447443 0.931478 0.035516 -0.134002 -0.100319 0.0488885
5.23364 0.0595885 0.0627751 0.561971 0.0290013 -0.0680985 -0.110457 -0.321722
5.38015 0.00926005 0.0278769 0.554215 0.026265 -0.109084 -0.122265 -0.330171
5.47 -0.0174283 0.0197455 0.551966 0.024716 -0.12738 -0.136074 -0.334399
5.86993 -0.00264718 0.0268021 0.544358 0.0188575 -0.0947864 -0.123943 -0.342458
6.15354 0.00574748 0.0306136 0.544432 0.0155655 -0.116581 -0.12247 -0.347901
6.37385 -0.0935948 0.0272913 0.525395 0.0134103 -0.168321 -0.117876 -0.362724
6.60192 0.0366397 0.0581117 0.533342 0.011493 -0.0770868 0.0798781 -0.395767
6.6406 0.0511135 0.0812175 0.529851 0.0111962 -0.0194606 -0.0313772 -0.182628
